Title,Category,Sub Category,Price,Quantity,Images
PlayStation 4 Slim 500GB Console With Controller,Electronics,Home entertainment systems,369.99,362,"https://m.media-amazon.com/images/I/51d2MPmXacL.__AC_SX300_SY300_QL70_ML2_.jpg, https://m.media-amazon.com/images/I/31te2tp9A+L._AC_.jpg, https://m.media-amazon.com/images/I/31o2E90Sx+L._AC_.jpg, https://m.media-amazon.com/images/I/411ecSokFSL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/21aR+NxdDmL._AC_.jpg"
"TOZO 2024 New Upgraded Smart Watch for Men Women for iPhone ＆ Android,",Electronics,Wearable technology,39.99,362,"https://m.media-amazon.com/images/I/71VdS8YvblL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71wg6L5awgL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71jVgAZ2esL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71kVZ3FmKBL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/81Ufxo2a56L._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71+lGiZHnTL._AC_SX522_.jpg"
"Dell Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",Electronics,Laptops and computers,527.99,124,"https://m.media-amazon.com/images/I/719yYrijeKL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51XoF7FLJhL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/51jSx90XeCL._AC_SX679_.jpg, https://m.media-amazon.com/images/I/41jQ3UVw25L._AC_SX679_.jpg"
"SAMSUNG Galaxy Tab A9+ Plus 11” 64GB Android Tablet, Big Screen, Quad Speakers, Upgraded Chipset, Multi Window Display, Slim, Light, Durable, Kids Friendly Design, US Version, 2024, Silver",Electronics,Tablets and e-readers,171.84,24,"https://m.media-amazon.com/images/I/61h+qeD-qfL._AC_SY300_SX300_.jpg, https://m.media-amazon.com/images/I/51lcPkDbSoL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61+5FEK8l8L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61DmHT0vHgL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81yND3mzmAL._AC_SX466_.jpg"
"Canon EOS REBEL T7 DSLR Camera|2 Lens Kit with EF18-55mm + EF 75-300mm Lens, Black",Electronics,Cameras and photography equipment,251.38,698,"https://m.media-amazon.com/images/I/71ZYxtmYkPL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71ZYxtmYkPL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/716XiTnTfML._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81u-uquDJXL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81yibiOQyUL._AC_SX466_.jpg"
"Canon EOS R100 Mirrorless Camera RF-S18-45mm F4.5-6.3 IS STM Lens Kit, 24.1 Megapixel CMOS (APS-C) sensor, 4K Video, RF Mount, Black",Electronics,Cameras and photography equipment,399,212,"https://m.media-amazon.com/images/I/71edZl9AfcL.__AC_SY300_SX300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71GuDfpd1LL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61BsA6xVNHL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71Ar2Mbip-L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71Mbtl15amL._AC_SX466_.jpg"
"Saneen Digital Camera, 4k Cameras for Photography & Video, 64MP WiFi Touch Screen Vlogging Camera for YouTube with Flash, 32GB SD Card, Lens Hood, 3000mAH Battery,",Electronics,Cameras and photography equipment,195.66,623,"https://m.media-amazon.com/images/I/71NXowebfKL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/71HgUjrxZEL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/81CHurhbR-L._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71iKNJ6rVIL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/51g0J5dj7GL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/51mg-oAhtHL._AC_SX466_.jpg"
Fujifilm QuickSnap Flash 400 One-Time-Use Camera - 2 Pack,Electronics,Cameras and photography equipment,25.99,562,"https://m.media-amazon.com/images/I/51zKUGscvOL._AC_SY879_.jpg, https://m.media-amazon.com/images/I/61XHzjqG8mL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/71HuNzf+ypL._AC_SX522_.jpg, https://m.media-amazon.com/images/I/41RwkhSIw9L._AC_SX522_.jpg, https://m.media-amazon.com/images/I/518DwMyHsML._AC_SX522_.jpg"
"Kasa Indoor Pan/Tilt Smart Security Camera, 1080p HD Dog-Camera,2.4GHz with Night Vision,Motion Detection for Baby and Pet Monitor, Cloud & SD Card Storage, Works with Alexa& Google Home (EC70), White",Electronics,Cameras and photography equipment,29.99,563,"https://m.media-amazon.com/images/I/51oao7xTT8L.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/51qbqxOEsUL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61i0N52ngHL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61n4Q4fZKDL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/51TvRd0WslL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/5188kziEeaL._AC_SX466_.jpg"
Fujifilm Instax Mini 12 Instant Camera Mint Green + MiniMate Accessory Bundle & Compatible Custom Case + Fuji Instax Film Value Pack (50 Sheets) Flamingo Designer Photo Album,Electronics,Cameras and photography equipment,144.95,362,"https://m.media-amazon.com/images/I/71algiqoQzL.__AC_SX300_SY300_QL70_FMwebp_.jpg, https://m.media-amazon.com/images/I/61TMWOO5psL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/61snfR8oTHL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71IaFSqCOIL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/71Pg-OJEoqL._AC_SX466_.jpg, https://m.media-amazon.com/images/I/81GKzMtveFL._AC_SX466_.jpg"
